Model,Bins,Index,Best Parameters,Test R²,Test MSE
xgboost,25,vari,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.7058452557587465,0.22007701045666211
xgboost,30,vari,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.7062447751057274,0.2197781030780647
gradient_boost,10,vari,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6965308631077931,0.22704573603043726
gradient_boost,15,vari,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.698895409594962,0.22527665927009397
gradient_boost,20,vari,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.7021921394392197,0.22281015324694986
gradient_boost,25,vari,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.7023661767999767,0.22267994415526252
gradient_boost,30,vari,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.7008602365664707,0.22380663964804232
random_forest,10,vari,"{'max_depth': 20, 'n_estimators': 200}",0.6939176222292543,0.22900087784409529
random_forest,15,vari,"{'max_depth': 20, 'n_estimators': 200}",0.7008069955078702,0.2238464728760956
random_forest,20,vari,"{'max_depth': 20, 'n_estimators': 200}",0.7046483320698067,0.2209725098234531
random_forest,25,vari,"{'max_depth': 20, 'n_estimators': 200}",0.7042940049186782,0.22123760587126678
random_forest,30,vari,"{'max_depth': 20, 'n_estimators': 200}",0.704416862386916,0.22114568791022288
xgboost,10,mndwi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.687659016369887,0.23368336314858673
xgboost,15,mndwi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6905514681050384,0.23151932485505428
xgboost,20,mndwi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6944159260441645,0.22862806314016304
xgboost,25,mndwi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6872692108128967,0.23397500298551374
xgboost,30,mndwi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6922110279486557,0.230277696167408
gradient_boost,10,mndwi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6864808821571646,0.2345648048405147
gradient_boost,15,mndwi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6879227296709876,0.23348606143559353
gradient_boost,20,mndwi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6893716938159851,0.2324019935987396
gradient_boost,25,mndwi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6876213925044456,0.2337115121007633
gradient_boost,30,mndwi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6879796436464086,0.23344348025065914
random_forest,10,mndwi,"{'max_depth': 20, 'n_estimators': 200}",0.68861412032575,0.23296878543941588
random_forest,15,mndwi,"{'max_depth': 20, 'n_estimators': 200}",0.6921197098522563,0.23034601739645358
random_forest,20,mndwi,"{'max_depth': 20, 'n_estimators': 200}",0.6907541260817587,0.2313677027495641
random_forest,25,mndwi,"{'max_depth': 20, 'n_estimators': 200}",0.6890218392357386,0.23266374341451707
random_forest,30,mndwi,"{'max_depth': 20, 'n_estimators': 200}",0.6897533568858922,0.23211644570576392
